customer_id,age,gender,province,region,jewelry_category,material,karat_purity,weight_grams,has_gemstone,occasion,purchase_amount_vnd,estimated_monthly_income_vnd,review_rating,membership_status,discount_applied,promo_code_used,payment_method,shipping_type,purchase_channel,previous_purchases,frequency_of_purchases,recency_proxy_days,monetary_est_vnd,clv_est_vnd,next_period_spend_est_vnd,churn,cluster,cluster_name,churn_proba
13,53,Nữ,Lào Cai,Miền Bắc,Lắc chân,Vàng 24K,24,9.38,0,Quà tặng người yêu,20693000.0,18119000.0,4.1,Không,Không,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Online,21,Nửa năm một lần,163.0,86911000.0,85537806.0,3974401.0,1,3,Khách hàng trung thành,0.6191352862833035
14,54,Nam,Thái Nguyên,Miền Bắc,Dây chuyền,Bạc,5,13.8,0,Quà tặng người yêu,1158000.0,25651000.0,4.2,Không,Không,Không,Tiền mặt,Giao hàng nhanh,Tại cửa hàng,7,Hàng quý,86.0,1621000.0,1604628.0,264836.0,0,0,Khách hàng phổ thông / mới,0.5656027961067108
15,52,Nữ,TP. Hồ Chí Minh,Miền Nam,Trang sức bộ,Vàng 24K,24,28.91,0,Tự mua sắm,57671000.0,15991000.0,5.0,Không,Có,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Tại cửa hàng,30,Nửa năm một lần,157.0,346026000.0,358309923.0,7598409.0,1,1,Khách hàng VIP (giá trị cao nhất),0.5665832276655931
16,55,Nữ,Đà Nẵng,Miền Trung,Lắc chân,Bạch kim,20,8.95,0,Tự mua sắm,16105000.0,18526000.0,3.5,Không,Có,Có,Chuyển khoản ngân hàng,Nhận tại cửa hàng,Tại cửa hàng,9,Hàng tháng,31.0,28989000.0,27539550.0,14008050.0,0,0,Khách hàng phổ thông / mới,0.2032979715854816
17,42,Nữ,Hà Nội,Miền Bắc,Bông tai,Bạc,5,3.82,0,Tự mua sắm,494000.0,14174000.0,2.8,Không,Không,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Online,20,Hai tuần một lần,13.0,1976000.0,1798358.0,932167.0,0,3,Khách hàng trung thành,0.7411991716566676
18,24,Nữ,Kiên Giang,Miền Nam,Dây chuyền,Vàng 18K,18,9.96,0,Sinh nhật,14896000.0,21237000.0,2.8,Không,Có,Có,Tiền mặt,Giao hàng nhanh,Online,21,Hàng quý,96.0,62563000.0,56938586.0,4918308.0,0,3,Khách hàng trung thành,0.3783464056871114
19,58,Nữ,Bắc Ninh,Miền Bắc,Bông tai,Vàng 18K,18,3.54,0,Tự mua sắm,5973000.0,20516000.0,3.8,Không,Không,Không,Tiền mặt,Nhận tại cửa hàng,Online,14,Hàng tháng,31.0,16724000.0,16173780.0,4835562.0,0,0,Khách hàng phổ thông / mới,0.5534654408889356
20,39,Nữ,Thanh Hóa,Miền Trung,Lắc chân,Vàng đính đá quý,18,10.55,1,Tự mua sắm,16873000.0,15212000.0,3.5,Không,Có,Có,Thẻ tín dụng,Giao hàng nhanh,Online,24,Nửa năm một lần,180.0,80990000.0,76940500.0,2097273.0,0,3,Khách hàng trung thành,0.2851404531323511
21,42,Nữ,Nghệ An,Miền Trung,Dây chuyền,Bạc,5,5.82,1,Cưới hỏi,1774000.0,16105000.0,4.8,Không,Có,Không,Chuyển khoản ngân hàng,Giao hàng tiêu chuẩn,Tại cửa hàng,27,Hai tuần một lần,13.0,9580000.0,9810878.0,5173871.0,0,3,Khách hàng trung thành,0.3598243345471964
22,35,Nữ,Quảng Nam,Miền Trung,Trang sức bộ,Bạch kim,20,32.88,0,Sinh nhật,53739000.0,21207000.0,3.8,Không,Có,Không,Thẻ tín dụng,Giao hàng tiêu chuẩn,Tại cửa hàng,19,Hàng tuần,8.0,204208000.0,197489557.0,154665184.0,0,1,Khách hàng VIP (giá trị cao nhất),0.4420977198514591
23,26,Nữ,Đồng Nai,Miền Nam,Trang sức bộ,Bạch kim,20,23.99,0,Sinh nhật,45610000.0,12152000.0,3.6,Không,Không,Không,Chuyển khoản ngân hàng,Giao hàng tiêu chuẩn,Online,23,Nửa năm một lần,209.0,209806000.0,200511594.0,6626468.0,1,1,Khách hàng VIP (giá trị cao nhất),0.6386582994125161
24,62,Nữ,Hà Nội,Miền Bắc,Vòng tay,Bạc,5,11.56,0,Lễ/Tết,977000.0,21410000.0,4.7,Không,Có,Có,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Tại cửa hàng,2,Hàng quý,96.0,391000.0,398194.0,227014.0,0,0,Khách hàng phổ thông / mới,0.14297315050709966
25,55,Nữ,Tiền Giang,Miền Nam,Bông tai,Vàng đính đá quý,18,2.06,1,Sinh nhật,7717000.0,21532000.0,4.5,Không,Không,Không,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Tại cửa hàng,8,Hàng năm,390.0,12347000.0,12433429.0,535448.0,1,2,Khách hàng có nguy cơ rời bỏ,0.60073383564582
26,48,Nam,TP. Hồ Chí Minh,Miền Nam,Vòng tay,Bạc,5,9.14,0,Sinh nhật,350000.0,21973000.0,4.3,Không,Không,Có,Chuyển khoản ngân hàng,Giao hàng nhanh,Online,14,Hàng tháng,27.0,980000.0,975688.0,396653.0,0,0,Khách hàng phổ thông / mới,0.3791264062656922
27,37,Nữ,Kiên Giang,Miền Nam,Bông tai,Bạc,5,3.92,0,Quà tặng gia đình,300000.0,16508000.0,3.8,Không,Có,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Online,4,Hàng tháng,29.0,240000.0,232104.0,246048.0,0,0,Khách hàng phổ thông / mới,0.4012750188597795
28,57,Nữ,Cần Thơ,Miền Nam,Lắc chân,Vàng 18K,18,4.37,0,Lễ/Tết,7114000.0,25656000.0,3.1,Có,Không,Có,Tiền mặt,Giao hàng tiêu chuẩn,Tại cửa hàng,15,Hàng tuần,6.0,21342000.0,23954261.0,22785266.0,0,0,Khách hàng phổ thông / mới,0.245393062058649
29,44,Nữ,Tiền Giang,Miền Nam,Nhẫn,Vàng 18K,18,1.52,0,Cưới hỏi,2632000.0,27371000.0,3.9,Không,Có,Không,Tiền mặt,Giao hàng nhanh,Tại cửa hàng,3,Hàng quý,79.0,1579000.0,1536051.0,891433.0,0,0,Khách hàng phổ thông / mới,0.3424835371943557
30,39,Nữ,Gia Lai,Miền Trung,Nhẫn,Bạc,5,3.18,0,Quà tặng gia đình,300000.0,24871000.0,2.8,Không,Không,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Tại cửa hàng,11,Hai tuần một lần,14.0,660000.0,600666.0,609104.0,0,0,Khách hàng phổ thông / mới,0.6977767862350532
31,39,Nữ,Thanh Hóa,Miền Trung,Dây chuyền,Vàng 18K,18,6.65,1,Quà tặng người yêu,15661000.0,21809000.0,3.8,Không,Không,Không,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Online,2,Nửa năm một lần,168.0,6264000.0,6057914.0,2493714.0,1,0,Khách hàng phổ thông / mới,0.5803585399642824
32,28,Nữ,Đà Nẵng,Miền Trung,Trang sức bộ,Bạc,5,33.53,0,Lễ/Tết,1947000.0,9695000.0,4.6,Không,Không,Không,Tiền mặt,Giao hàng tiêu chuẩn,Online,13,Hai tuần một lần,15.0,5062000.0,5126287.0,5192299.0,0,0,Khách hàng phổ thông / mới,0.44514979959743567
33,22,Nữ,TP. Hồ Chí Minh,Miền Nam,Dây chuyền,Vàng đính đá quý,18,9.98,1,Quà tặng người yêu,20169000.0,31049000.0,3.8,Không,Không,Không,Chuyển khoản ngân hàng,Nhận tại cửa hàng,Tại cửa hàng,13,Hàng năm,412.0,52439000.0,50713757.0,1465049.0,0,2,Khách hàng có nguy cơ rời bỏ,0.5009489870431126
34,44,Nam,Huế,Miền Trung,Lắc chân,Vàng 18K,18,6.65,0,Sinh nhật,10077000.0,21050000.0,2.7,Không,Có,Không,Thẻ tín dụng,Giao hàng tiêu chuẩn,Online,15,Hàng quý,88.0,30231000.0,27340916.0,2781293.0,0,3,Khách hàng trung thành,0.5231153939600893
35,60,Nam,TP. Hồ Chí Minh,Miền Nam,Vòng tay,Vàng 24K,24,19.75,0,Quà tặng gia đình,42627000.0,23783000.0,2.6,Không,Không,Có,Tiền mặt,Giao hàng tiêu chuẩn,Tại cửa hàng,30,Nửa năm một lần,162.0,255762000.0,229853309.0,9062643.0,1,1,Khách hàng VIP (giá trị cao nhất),0.6737416962286742
36,21,Nam,Hà Nội,Miền Bắc,Dây chuyền,Bạc,5,7.41,0,Quà tặng người yêu,749000.0,14325000.0,4.7,Có,Có,Không,Thẻ tín dụng,Giao hàng nhanh,Online,17,Hàng tháng,27.0,2547000.0,3139942.0,649340.0,0,0,Khách hàng phổ thông / mới,0.1550893390845132
37,59,Nam,Cần Thơ,Miền Nam,Trang sức bộ,Vàng 24K,24,33.95,0,Lễ/Tết,74596000.0,20036000.0,3.1,Không,Không,Không,Thẻ tín dụng,Giao hàng tiêu chuẩn,Online,5,Hai tuần một lần,14.0,74596000.0,69165411.0,165858150.0,0,0,Khách hàng phổ thông / mới,0.5348268104084772
38,57,Nữ,Thái Nguyên,Miền Bắc,Vòng tay,Bạch kim,20,19.12,1,Sinh nhật,36413000.0,29676000.0,3.8,Không,Có,Có,Ví điện tử (Momo/ZaloPay),Giao hàng nhanh,Tại cửa hàng,19,Hàng quý,89.0,138369000.0,133816660.0,7944491.0,0,1,Khách hàng VIP (giá trị cao nhất),0.1982879430986091
39,31,Nữ,Tiền Giang,Miền Nam,Dây chuyền,Bạc,5,11.28,0,Quà tặng người yêu,741000.0,25339000.0,4.4,Có,Có,Không,Ví điện tử (Momo/ZaloPay),Nhận tại cửa hàng,Online,30,Hàng quý,91.0,4446000.0,5388997.0,185883.0,0,3,Khách hàng trung thành,0.20377972975032568
40,48,Nữ,Quảng Ninh,Miền Bắc,Nhẫn,Vàng 18K,18,4.91,0,Quà tặng gia đình,8024000.0,18701000.0,3.1,Không,Không,Có,Ví điện tử (Momo/ZaloPay),Giao hàng nhanh,Online,7,Nửa năm một lần,204.0,11234000.0,10416165.0,1221813.0,1,0,Khách hàng phổ thông / mới,0.6999716719220298
41,25,Nam,Bắc Ninh,Miền Bắc,Nhẫn,Bạc,5,6.84,0,Sinh nhật,564000.0,30194000.0,4.3,Không,Không,Không,Tiền mặt,Giao hàng tiêu chuẩn,Online,3,Hàng quý,101.0,338000.0,336513.0,189793.0,0,0,Khách hàng phổ thông / mới,0.5284941815216438
42,54,Nữ,Cần Thơ,Miền Nam,Nhẫn,Bạc,5,3.61,0,Lễ/Tết,396000.0,14175000.0,2.7,Không,Có,Không,Ví điện tử (Momo/ZaloPay),Nhận tại cửa hàng,Online,28,Hàng tháng,31.0,2218000.0,2005959.0,395047.0,0,3,Khách hàng trung thành,0.5071083027209699
43,51,Nam,Cần Thơ,Miền Nam,Dây chuyền,Vàng 18K,18,7.41,0,Lễ/Tết,11972000.0,9294000.0,4.4,Không,Không,Không,Chuyển khoản ngân hàng,Giao hàng tiêu chuẩn,Online,6,Hàng năm,327.0,14366000.0,14384676.0,1075485.0,1,2,Khách hàng có nguy cơ rời bỏ,0.5706880934136574
44,35,Nữ,TP. Hồ Chí Minh,Miền Nam,Vòng tay,Vàng 18K,18,8.1,1,Quà tặng người yêu,15243000.0,6596000.0,2.7,Không,Không,Không,Tiền mặt,Giao hàng tiêu chuẩn,Online,25,Hàng tháng,27.0,76215000.0,68928846.0,16018722.0,0,3,Khách hàng trung thành,0.6520778848927375
45,21,Nam,Kiên Giang,Miền Nam,Dây chuyền,Vàng 18K,18,6.06,0,Cưới hỏi,8929000.0,24825000.0,3.2,Không,Có,Không,Chuyển khoản ngân hàng,Giao hàng tiêu chuẩn,Tại cửa hàng,13,Hàng tháng,28.0,23215000.0,21657274.0,7020739.0,0,0,Khách hàng phổ thông / mới,0.558403916316938
46,64,Nữ,Hưng Yên,Miền Bắc,Nhẫn,Vàng đính đá quý,18,2.39,1,Cưới hỏi,7135000.0,16968000.0,3.1,Không,Không,Có,Tiền mặt,Giao hàng tiêu chuẩn,Online,24,Hàng quý,96.0,34248000.0,31754746.0,1940783.0,0,3,Khách hàng trung thành,0.4079822564220565
47,39,Nữ,Cần Thơ,Miền Nam,Dây chuyền,Vàng 24K,24,13.21,0,Sinh nhật,28996000.0,19357000.0,4.7,Không,Không,Có,Thẻ tín dụng,Nhận tại cửa hàng,Online,22,Hàng tháng,33.0,127582000.0,129929509.0,24174361.0,0,1,Khách hàng VIP (giá trị cao nhất),0.3806015453112529
48,60,Nữ,Thanh Hóa,Miền Trung,Dây chuyền,Vàng 18K,18,3.01,0,Quà tặng người yêu,5341000.0,29261000.0,3.8,Không,Không,Không,Ví điện tử (Momo/ZaloPay),Nhận tại cửa hàng,Online,25,Hàng quý,94.0,26705000.0,25826406.0,2028924.0,0,3,Khách hàng trung thành,0.5245851404904123
49,50,Nữ,Bình Định,Miền Trung,Trang sức bộ,Vàng 24K,24,20.61,0,Sinh nhật,45613000.0,23301000.0,4.6,Không,Không,Không,Ví điện tử (Momo/ZaloPay),Giao hàng nhanh,Tại cửa hàng,23,Nửa năm một lần,201.0,209820000.0,212484714.0,7228989.0,1,1,Khách hàng VIP (giá trị cao nhất),0.6544316794208466
50,55,Nữ,Đà Nẵng,Miền Trung,Dây chuyền,Vàng 18K,18,7.37,1,Lễ/Tết,15154000.0,12997000.0,4.0,Không,Có,Có,Thẻ tín dụng,Nhận tại cửa hàng,Online,16,Nửa năm một lần,168.0,48493000.0,47450400.0,1847307.0,0,3,Khách hàng trung thành,0.16180684398478332
51,54,Nam,Hà Nội,Miền Bắc,Nhẫn,Vàng 24K,24,4.02,1,Quà tặng người yêu,12609000.0,32609000.0,4.5,Không,Không,Không,Tiền mặt,Nhận tại cửa hàng,Online,8,Nửa năm một lần,192.0,20174000.0,20315218.0,2085086.0,1,0,Khách hàng phổ thông / mới,0.6271844164028922
52,27,Nữ,Đắk Lắk,Miền Trung,Vòng tay,Bạch kim,20,17.66,0,Tự mua sắm,33068000.0,17583000.0,3.9,Không,Không,Có,Chuyển khoản ngân hàng,Giao hàng nhanh,Tại cửa hàng,29,Hàng tháng,28.0,191794000.0,186577203.0,32974176.0,0,1,Khách hàng VIP (giá trị cao nhất),0.286240518456937
53,35,Nữ,TP. Hồ Chí Minh,Miền Nam,Trang sức bộ,Vàng 24K,24,30.53,0,Sinh nhật,66692000.0,19659000.0,3.6,Có,Không,Có,Tiền mặt,Nhận tại cửa hàng,Tại cửa hàng,6,Hai tuần một lần,15.0,80030000.0,92586707.0,117131698.0,0,0,Khách hàng phổ thông / mới,0.1464305416149374
54,40,Nữ,Quảng Ninh,Miền Bắc,Bông tai,Bạc,5,4.32,0,Quà tặng người yêu,881000.0,15410000.0,4.1,Không,Có,Có,Ví điện tử (Momo/ZaloPay),Giao hàng nhanh,Online,11,Nửa năm một lần,156.0,1938000.0,1907380.0,188077.0,0,0,Khách hàng phổ thông / mới,0.16112437882713385
55,41,Nữ,Tiền Giang,Miền Nam,Lắc chân,Vàng 18K,18,9.2,0,Quà tặng người yêu,14435000.0,12650000.0,3.2,Không,Không,Có,Thẻ tín dụng,Nhận tại cửa hàng,Online,9,Hàng tháng,31.0,25983000.0,24239541.0,16561787.0,0,0,Khách hàng phổ thông / mới,0.39402345164621216
56,20,Nữ,Khánh Hòa,Miền Trung,Trang sức bộ,Vàng 18K,18,30.09,1,Quà tặng người yêu,49888000.0,20813000.0,4.8,Có,Không,Không,Tiền mặt,Nhận tại cửa hàng,Online,13,Hàng tháng,34.0,129709000.0,160800247.0,51397717.0,0,1,Khách hàng VIP (giá trị cao nhất),0.19075547530013637
57,44,Nam,Quảng Ninh,Miền Bắc,Bông tai,Vàng 24K,24,2.93,0,Tự mua sắm,6981000.0,10550000.0,4.8,Có,Không,Có,Tiền mặt,Nhận tại cửa hàng,Tại cửa hàng,8,Hàng quý,84.0,11170000.0,13847449.0,2116591.0,0,0,Khách hàng phổ thông / mới,0.16545916348515768
58,25,Nữ,TP. Hồ Chí Minh,Miền Nam,Trang sức bộ,Bạc,5,21.26,0,Quà tặng người yêu,1615000.0,18918000.0,2.7,Có,Có,Có,Thẻ tín dụng,Giao hàng nhanh,Online,25,Nửa năm một lần,202.0,8075000.0,8840510.0,226502.0,0,3,Khách hàng trung thành,0.16668443553402595
59,53,Nam,Thái Nguyên,Miền Bắc,Nhẫn,Vàng đính đá quý,18,3.09,1,Lễ/Tết,10911000.0,32278000.0,4.8,Không,Không,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Tại cửa hàng,14,Hàng tháng,26.0,30551000.0,31287279.0,13340302.0,0,0,Khách hàng phổ thông / mới,0.5409841205541223
60,50,Nam,Hà Nội,Miền Bắc,Lắc chân,Vàng 18K,18,5.14,1,Lễ/Tết,12753000.0,26259000.0,3.0,Không,Có,Không,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Online,27,Hàng năm,382.0,68866000.0,63460019.0,1177414.0,1,2,Khách hàng có nguy cơ rời bỏ,0.6603021601612974
61,62,Nữ,TP. Hồ Chí Minh,Miền Nam,Lắc chân,Vàng đính đá quý,18,11.41,1,Quà tặng người yêu,22964000.0,23141000.0,4.2,Không,Không,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Online,1,Hàng quý,88.0,4593000.0,4546611.0,7153406.0,0,0,Khách hàng phổ thông / mới,0.4900419009816257
62,53,Nữ,Hải Phòng,Miền Bắc,Trang sức bộ,Vàng 18K,18,29.02,0,Lễ/Tết,41870000.0,13492000.0,4.6,Không,Có,Không,Chuyển khoản ngân hàng,Giao hàng tiêu chuẩn,Tại cửa hàng,14,Hàng năm,313.0,117236000.0,118724897.0,3878987.0,0,1,Khách hàng VIP (giá trị cao nhất),0.27122976715807545
63,35,Nữ,Hải Phòng,Miền Bắc,Vòng tay,Bạc,5,12.235,0,Quà tặng gia đình,813000.0,19675000.0,3.1,Không,Không,Không,Thẻ tín dụng,Giao hàng nhanh,Online,18,Hàng tháng,31.0,2927000.0,2713914.0,630096.0,1,3,Khách hàng trung thành,0.7633974333093857
64,64,Nữ,TP. Hồ Chí Minh,Miền Nam,Bông tai,Bạc,5,1.19,0,Quà tặng người yêu,300000.0,16268000.0,2.8,Không,Không,Không,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Online,26,Nửa năm một lần,163.0,1560000.0,1419756.0,43326.0,1,3,Khách hàng trung thành,0.6776145191297734
65,37,Nữ,Hà Nội,Miền Bắc,Nhẫn,Vàng 24K,24,6.33,0,Quà tặng gia đình,12575000.0,30316000.0,4.4,Không,Có,Có,Ví điện tử (Momo/ZaloPay),Giao hàng nhanh,Tại cửa hàng,22,Hàng quý,90.0,55330000.0,55401929.0,4804717.0,0,3,Khách hàng trung thành,0.17321742675478735
66,33,Nữ,Cần Thơ,Miền Nam,Vòng tay,Vàng 18K,18,19.23,0,Cưới hỏi,30247000.0,16662000.0,3.6,Không,Không,Không,Chuyển khoản ngân hàng,Nhận tại cửa hàng,Online,19,Hàng năm,337.0,114939000.0,109847202.0,3349940.0,1,1,Khách hàng VIP (giá trị cao nhất),0.6255116145350158
67,61,Nữ,Đồng Nai,Miền Nam,Dây chuyền,Vàng 24K,24,14.12,0,Tự mua sắm,25989000.0,16158000.0,3.7,Không,Có,Không,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Online,26,Hàng quý,80.0,135143000.0,129926480.0,9619551.0,0,1,Khách hàng VIP (giá trị cao nhất),0.36294691500092197
68,35,Nam,Bắc Ninh,Miền Bắc,Vòng tay,Bạc,5,15.71,0,Quà tặng người yêu,1153000.0,18576000.0,4.4,Không,Có,Không,Thẻ tín dụng,Giao hàng nhanh,Online,12,Hàng năm,322.0,2767000.0,2770597.0,126827.0,0,2,Khách hàng có nguy cơ rời bỏ,0.3028698327924365
69,21,Nữ,Khánh Hòa,Miền Trung,Bông tai,Vàng 18K,18,4.24,0,Lễ/Tết,6162000.0,13788000.0,3.1,Không,Có,Có,Thẻ tín dụng,Giao hàng tiêu chuẩn,Tại cửa hàng,29,Nửa năm một lần,189.0,35740000.0,33138128.0,1041764.0,0,3,Khách hàng trung thành,0.31122000183648846
70,40,Nữ,Hải Phòng,Miền Bắc,Dây chuyền,Vàng đính đá quý,18,4.45,1,Lễ/Tết,9646000.0,22050000.0,2.7,Có,Không,Không,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Tại cửa hàng,28,Nửa năm một lần,166.0,54018000.0,59138906.0,1540824.0,1,3,Khách hàng trung thành,0.6018226148829648
71,56,Nữ,Quảng Ngãi,Miền Trung,Nhẫn,Vàng 18K,18,2.06,0,Quà tặng gia đình,3713000.0,34109000.0,4.9,Không,Không,Không,Thẻ tín dụng,Giao hàng tiêu chuẩn,Tại cửa hàng,28,Hàng tháng,28.0,20793000.0,21412631.0,4237002.0,0,3,Khách hàng trung thành,0.5086212331115941
72,27,Nữ,Hà Nội,Miền Bắc,Dây chuyền,Vàng đính đá quý,18,6.18,1,Quà tặng gia đình,13803000.0,19670000.0,4.2,Không,Có,Không,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Tại cửa hàng,16,Hàng tháng,27.0,44170000.0,43723883.0,19582570.0,0,3,Khách hàng trung thành,0.3182953513676733
73,40,Nữ,Tiền Giang,Miền Nam,Bông tai,Vàng 24K,24,3.82,0,Quà tặng người yêu,8757000.0,13941000.0,4.1,Không,Không,Không,Ví điện tử (Momo/ZaloPay),Giao hàng nhanh,Online,3,Hàng năm,324.0,5254000.0,5170987.0,805605.0,0,2,Khách hàng có nguy cơ rời bỏ,0.5431588610379692
74,24,Nữ,Nam Định,Miền Bắc,Bông tai,Bạc,5,5.57,1,Tự mua sắm,4877000.0,18334000.0,3.3,Không,Có,Không,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Tại cửa hàng,26,Hàng năm,311.0,25360000.0,23802896.0,602946.0,1,2,Khách hàng có nguy cơ rời bỏ,0.6278290639129408
75,50,Nữ,TP. Hồ Chí Minh,Miền Nam,Bông tai,Vàng 18K,18,5.36,0,Cưới hỏi,7650000.0,12104000.0,5.0,Không,Có,Có,Thẻ tín dụng,Nhận tại cửa hàng,Online,13,Hàng tháng,30.0,19890000.0,20596095.0,4042611.0,0,0,Khách hàng phổ thông / mới,0.17129512646946796
76,40,Nữ,Bắc Ninh,Miền Bắc,Nhẫn,Vàng 24K,24,3.49,0,Quà tặng người yêu,7343000.0,40514000.0,3.1,Có,Không,Không,Thẻ tín dụng,Nhận tại cửa hàng,Online,25,Hàng tháng,32.0,36715000.0,41208916.0,7902508.0,0,3,Khách hàng trung thành,0.43382277753594084
77,33,Nam,Nam Định,Miền Bắc,Lắc chân,Vàng 24K,24,6.3,1,Quà tặng người yêu,17927000.0,32586000.0,2.9,Không,Không,Không,Thẻ tín dụng,Giao hàng tiêu chuẩn,Online,2,Hai tuần một lần,12.0,7171000.0,6567202.0,45519722.0,0,0,Khách hàng phổ thông / mới,0.6076297455352802
